index,Vehicle_ID,Frame_ID,Total_Frames,Global_Time,Local_X,Local_Y,Global_X,Global_Y,v_length,v_Width,v_Class,v_Vel,v_Acc,Lane_ID,O_Zone,D_Zone,Int_ID,Section_ID,Direction,Movement,Preceding,Following,Space_Headway,Time_Headway,Location,d
1921239,8,129,448,1118846991800,39.973,441.395,6451408.651,1873038.558,15.5,5.4,2,35.38,-4.61,4,,,,,,,5,21,58.17,1.64,us-101,72.09328591484784
1629337,18,129,291,1118846991800,50.837,335.897,6451323.062,1873103.175,14.5,6.4,2,39.19,5.25,5,,,,,,,14,31,90.36,2.31,us-101,35.48800386045968
3196675,20,129,414,1118846991800,27.487,283.701,6451301.773,1873156.225,17.5,5.9,2,44.08,4.26,3,,,,,,,9,47,130.41,2.96,us-101,86.36377325013073
7592103,21,129,439,1118846991800,38.88,369.31,6451356.35,1873088.244,18.0,6.9,2,42.88,1.45,4,,,,,,,8,25,72.08,1.68,us-101,0.0
2624646,25,129,436,1118846991800,39.896,269.577,6451283.005,1873157.107,18.5,5.9,2,44.13,-0.12,4,,,,,,,21,34,99.73,2.26,us-101,99.73817496325067
7935299,8,130,448,1118846991900,40.047,444.889,6451411.152,1873036.152,15.5,5.4,2,35.06,-1.55,4,,,,,,,5,21,58.31,1.66,us-101,71.29309013501943
1862697,18,130,291,1118846991900,50.843,339.886,6451325.903,1873100.421,14.5,6.4,2,39.26,-1.62,5,,,,,,,14,31,90.44,2.3,us-101,35.74633441347515
3475937,20,130,414,1118846991900,27.337,288.134,6451305.07,1873153.247,17.5,5.9,2,44.5,3.84,3,,,,,,,9,47,130.48,2.93,us-101,86.25843376737139
4859710,21,130,439,1118846991900,38.973,373.604,6451359.451,1873085.26,18.0,6.9,2,42.92,0.98,4,,,,,,,8,25,71.29,1.66,us-101,0.0
8483010,25,130,436,1118846991900,40.066,273.956,6451286.002,1873153.973,18.5,5.9,2,44.36,4.97,4,,,,,,,21,34,99.65,2.25,us-101,99.65399416481003
4712809,8,131,448,1118846992000,40.122,448.375,6451413.674,1873033.726,15.5,5.4,2,34.96,0.09,4,,,,,,,5,21,58.61,1.68,us-101,70.45091472081819
6074447,18,131,291,1118846992000,50.833,343.848,6451328.807,1873097.628,14.5,6.4,2,38.43,-11.2,5,,,,,,,14,31,90.58,2.36,us-101,36.0580274696218
5077041,20,131,414,1118846992000,27.084,292.605,6451308.446,1873150.335,17.5,5.9,2,44.87,3.65,3,,,,,,,9,47,130.52,2.91,us-101,86.16417615807627
1843833,21,131,439,1118846992000,39.066,377.932,6451362.606,1873082.225,18.0,6.9,2,42.74,-4.16,4,,,,,,,8,25,70.44,1.65,us-101,0.0
5731406,25,131,436,1118846992000,40.183,278.406,6451289.122,1873150.795,18.5,5.9,2,44.85,6.1,4,,,,,,,21,34,99.53,2.22,us-101,99.53226795868765
16142,8,132,448,1118846992100,40.197,451.87,6451416.197,1873031.299,15.5,5.4,2,34.98,0.25,4,,,,,,,5,21,58.87,1.68,us-101,69.65619284744179
4534681,18,132,291,1118846992100,50.824,347.626,6451331.689,1873094.855,14.5,6.4,2,37.27,-11.2,5,,,,,,,14,31,90.91,2.44,us-101,36.49690958149747
6639008,20,132,414,1118846992100,26.811,297.114,6451311.888,1873147.389,17.5,5.9,2,45.2,3.03,3,,,,,,,9,47,130.48,2.89,us-101,86.00342826887777
8467306,21,132,439,1118846992100,39.196,382.221,6451365.666,1873079.229,18.0,6.9,2,42.11,-9.17,4,,,,,,,8,25,69.65,1.65,us-101,0.0
